epoch,conf_loss,iou_loss,loss,mean_iou,total_loss,val_conf_loss,val_iou_loss,val_loss,val_mean_iou,val_total_loss,val_wh_loss,val_xy_loss,wh_loss,xy_loss
0,0.023671311,0.0031909259,0.0241313728,0.4302270477,0.0241313728,0.0230391829,0.0030293713,0.0234255319,0.4545860517,0.023425532,0.0083045358,0.0152693597,0.0094337269,0.0182032039
1,0.0208195321,0.0028626749,0.0211724557,0.4693102335,0.0211724557,0.0196848156,0.002872174,0.020016253,0.4851766011,0.0200162529,0.0068125647,0.0131141247,0.0071164014,0.0137079788
2,0.0184052,0.0027743536,0.0187160635,0.493272086,0.0187160636,0.0181041572,0.0028581213,0.0184070265,0.5017291843,0.0184070265,0.0059187916,0.0120200419,0.0059941632,0.0120755509
3,0.0173062482,0.0027350609,0.0175952647,0.5073352515,0.0175952647,0.0174234049,0.0027939236,0.0177053179,0.5167705385,0.0177053178,0.005527372,0.0110440221,0.0054291976,0.0111969508
4,0.0167638419,0.0026958043,0.0170365665,0.5169558884,0.0170365665,0.016942485,0.0027794645,0.0172145511,0.5198307561,0.0172145511,0.0051829525,0.0107062242,0.0050610316,0.0105163243
5,0.0163250658,0.0026835763,0.0165899584,0.5225684894,0.0165899584,0.01656005,0.0027741753,0.0168264946,0.5235425382,0.0168264947,0.0050053948,0.0104976625,0.0048273479,0.0102469157
6,0.0158808205,0.0026757587,0.0161406075,0.5268787944,0.0161406075,0.0160293126,0.0027651567,0.0162910716,0.5473892652,0.0162910715,0.0048420817,0.0103506843,0.0046722688,0.0100583493
7,0.0153693456,0.0026727433,0.0156254608,0.5301027757,0.0156254608,0.0156996165,0.0027759142,0.0159586915,0.5276038178,0.0159586915,0.0047455354,0.010231365,0.0045487151,0.0099292797
8,0.0150781541,0.002668666,0.0153310049,0.5296316744,0.0153310049,0.0154580555,0.0027574774,0.0157128406,0.5316947236,0.0157128406,0.0046422057,0.0100601372,0.0044536678,0.0098061895
9,0.0148479839,0.0026561812,0.0150969702,0.5334701498,0.0150969702,0.0152501229,0.0027391093,0.015502852,0.5348703684,0.0155028521,0.0045875478,0.009996059,0.0043752725,0.009661313
10,0.0146373555,0.0026562045,0.0148846265,0.5979336971,0.0148846265,0.0151176865,0.0027546246,0.0153676939,0.5346347081,0.0153676938,0.0045076212,0.0098662948,0.0043086201,0.0095865873
11,0.014465961,0.0026511572,0.0147106961,0.5387061822,0.0147106962,0.0149133061,0.002735395,0.0151612135,0.537217575,0.0151612136,0.0044345715,0.0098169098,0.0042468063,0.0095179014
12,0.0143216526,0.0026493418,0.0145645901,0.5375440193,0.0145645901,0.0148002001,0.0027315908,0.0150468746,0.5352063448,0.0150468746,0.0043918955,0.0097834106,0.0041791027,0.0094574482
13,0.0141790903,0.0026441549,0.0144204628,0.5396300803,0.0144204628,0.0146134819,0.0027401377,0.0148584396,0.5367617285,0.0148584395,0.0043521323,0.0096867924,0.0041317668,0.0094052849
14,0.0139099773,0.0026438894,0.0141504768,0.5380691567,0.0141504769,0.014381594,0.0027382423,0.0146250624,0.5390987755,0.0146250623,0.004282967,0.0096613473,0.0040917725,0.0093544722
15,0.0137432563,0.0026429793,0.0139823955,0.5409920393,0.0139823955,0.014282189,0.0027322774,0.0145243376,0.5394964185,0.0145243374,0.0042524074,0.0095989888,0.0040553718,0.0093160539
16,0.013610561,0.0026396801,0.013848382,0.5418992853,0.013848382,0.0141343285,0.0027274999,0.0143754568,0.5410956078,0.0143754567,0.0042116437,0.0095818269,0.0040232054,0.0092803401
17,0.0134911388,0.0026386136,0.0137281559,0.5429492977,0.0137281559,0.0139934516,0.0027329967,0.0142339556,0.541235806,0.0142339557,0.0041935929,0.009551767,0.0039933159,0.0092450507
18,0.0133602868,0.0026370517,0.0135964111,0.5427880805,0.0135964111,0.013885768,0.0027295295,0.0141257019,0.5420691035,0.0141257019,0.0041669854,0.0095418657,0.0039648222,0.0092190224
19,0.0132605373,0.0026362309,0.0134958855,0.5434298709,0.0134958855,0.0137961457,0.0027236798,0.0140343443,0.5433648402,0.0140343441,0.0041201171,0.009474368,0.0039418774,0.0091876941
20,0.0131472501,0.0026364847,0.0133817368,0.5437477159,0.0133817367,0.0136975718,0.0027250717,0.0139354491,0.5434523122,0.013935449,0.0041069214,0.009466536,0.0039144915,0.0091585886
21,0.0130574568,0.0026351117,0.0132912446,0.5447550985,0.0132912446,0.0136133857,0.002730366,0.0138506034,0.5441698216,0.0138506034,0.0040745962,0.0094435258,0.0038934117,0.0091325436
22,0.0129757949,0.0026339135,0.0132088874,0.5463569366,0.0132088875,0.01354521,0.0027237663,0.0137818372,0.5446306035,0.0137818373,0.0040624596,0.0094202384,0.003871835,0.0091115821
23,0.012900794,0.0026314209,0.0131333199,0.5457798855,0.0131333199,0.0134680044,0.0027249261,0.0137043638,0.5454046553,0.0137043637,0.0040449871,0.0094199309,0.0038524204,0.0090922763
24,0.0128306186,0.0026316466,0.0130624786,0.5461189117,0.0130624786,0.0134114591,0.0027240684,0.013646874,0.5449547559,0.0136468739,0.0040244764,0.0093780045,0.0038354413,0.0090726742
25,0.0127657414,0.0026318443,0.0129972951,0.5519634236,0.012997295,0.0133594487,0.0027273096,0.0135948698,0.544722644,0.0135948698,0.0040195818,0.0093788366,0.0038155359,0.0090509798
26,0.012697169,0.0026297781,0.0129278215,0.5431473006,0.0129278215,0.0132706888,0.0027190278,0.0135047954,0.5452165911,0.0135047954,0.0039752522,0.0093365104,0.0038025268,0.0090325055
27,0.0126295479,0.0026301021,0.0128598441,0.5487850753,0.012859844,0.0132187887,0.0027201901,0.0134528665,0.5456757003,0.0134528666,0.0039683473,0.0093400748,0.0037815058,0.0090138808
28,0.0125644714,0.0026288427,0.0127946207,0.5470294035,0.0127946207,0.0131513769,0.0027235196,0.0133845913,0.5462235486,0.0133845911,0.0039396221,0.0093074948,0.003769993,0.0089959213
29,0.012498823,0.002628537,0.012728283,0.5483554987,0.0127282831,0.0130934993,0.0027209757,0.0133265369,0.5468067337,0.013326537,0.0039404567,0.00929777,0.0037552267,0.0089808109
30,0.0124416526,0.0026285667,0.0126705575,0.5481897431,0.0126705575,0.0130455913,0.0027131192,0.0132777279,0.5478861194,0.0132777279,0.0039095094,0.0092746276,0.0037429193,0.0089711555
31,0.0123866588,0.0026266464,0.0126151079,0.5286461553,0.0126151078,0.0129855948,0.0027145719,0.0132175768,0.5477868614,0.0132175768,0.0039026461,0.0092681443,0.0037295921,0.0089553649
32,0.0123304415,0.0026266727,0.0125586644,0.5491234896,0.0125586643,0.0129364127,0.002719279,0.0131680014,0.5497401919,0.0131680014,0.0038899868,0.0092489488,0.0037173979,0.0089426407
33,0.0122781104,0.0026282814,0.0125059348,0.5493177927,0.0125059349,0.0128874759,0.0027177347,0.0131190206,0.5381792778,0.0131190207,0.0038874873,0.0092497628,0.0037040794,0.0089260587
34,0.0122284773,0.0026249599,0.0124555573,0.5467143134,0.0124555573,0.0128452492,0.0027104351,0.0130764537,0.5487518536,0.0130764536,0.0038763505,0.0092493011,0.0036959719,0.0089119482
35,0.0135548089,0.0006193859,0.013732228,0.6804479335,0.013732228,0.0111026295,0.0004360316,0.0112382024,0.732374121,0.0112382023,0.0003657961,0.008097217,0.0007758951,0.0104088726
36,0.0103961516,0.0004212501,0.0105277181,0.7372567037,0.0105277181,0.009743697,0.0003869796,0.0098677232,0.7520340687,0.0098677232,0.000323986,0.0074439412,0.0003583134,0.007976598
37,0.0092838003,0.0003849346,0.0094055471,0.7534787833,0.0094055471,0.009023667,0.0003648098,0.0091428239,0.7598840195,0.0091428239,0.0003069135,0.0071445556,0.0003183701,0.007408939
38,0.0085784868,0.0003653847,0.0086945072,0.7629841255,0.0086945072,0.0084945685,0.0003482683,0.0086085589,0.7682991237,0.0086085589,0.0002850921,0.0068488345,0.0002992126,0.0070858906
39,0.0081087078,0.0003502207,0.0082209416,0.7694309639,0.0082209416,0.0081906622,0.0003437341,0.0083021858,0.7732538639,0.0083021858,0.0002761451,0.0067049307,0.0002865343,0.0068562987
40,0.0078075668,0.0003408328,0.0079171024,0.7740589558,0.0079171024,0.007989541,0.0003331638,0.0080983878,0.7778964946,0.0080983879,0.0002651389,0.0065527936,0.0002779865,0.0066875755
41,0.0075749943,0.0003328187,0.0076822043,0.7783135982,0.0076822043,0.0078131823,0.0003306281,0.0079208596,0.7796807913,0.0079208596,0.0002683221,0.0064708413,0.00027211,0.0065500189
42,0.0073811732,0.0003267958,0.0074864201,0.7815111401,0.00748642,0.0076703901,0.0003240417,0.0077763466,0.7831036443,0.0077763467,0.0002599083,0.0063670889,0.0002668854,0.0064370844
43,0.0072279388,0.0003202853,0.0073317274,0.7842624031,0.0073317274,0.0075714457,0.0003249185,0.0076769123,0.7839604338,0.0076769122,0.0002660591,0.0063304688,0.000263439,0.0063390542
44,0.0070367042,0.0003159673,0.0071392353,0.7864855876,0.0071392352,0.007404498,0.0003204702,0.0075085026,0.7861560079,0.0075085026,0.0002554546,0.0062485206,0.0002605315,0.0062636381
45,0.0068968606,0.0003128185,0.0069981413,0.7885603578,0.0069981413,0.0073051703,0.0003151912,0.0074082603,0.7880285292,0.0074082603,0.0002560541,0.0061898335,0.0002579352,0.0061961952
46,0.0067924656,0.0003088732,0.0068927596,0.7904944963,0.0068927596,0.0072372322,0.0003167232,0.0073397403,0.7890889651,0.0073397404,0.000257055,0.006149808,0.0002555375,0.0061343594
47,0.0066912166,0.000306363,0.0067905956,0.7919802387,0.0067905956,0.0071606444,0.0003136052,0.007262468,0.7904926267,0.007262468,0.0002545295,0.0061110572,0.0002534296,0.0060756228
48,0.0066092619,0.0003030385,0.0067076137,0.7939437327,0.0067076137,0.0071103099,0.0003101868,0.0072114654,0.7914542027,0.0072114655,0.0002531339,0.0060743074,0.000250834,0.0060295459
49,0.0065354929,0.0003003904,0.0066332956,0.7949498082,0.0066332956,0.0070438455,0.0003086779,0.0071441483,0.7931918741,0.0071441483,0.0002488666,0.0060249645,0.0002486261,0.0059815806
50,0.0064520855,0.000298698,0.0065492004,0.7961281627,0.0065492004,0.0069898997,0.0003067379,0.0070895783,0.7940596346,0.0070895783,0.0002456862,0.0059904567,0.000246995,0.0059405818
51,0.0063745294,0.0002967213,0.0064711895,0.7968256308,0.0064711895,0.0069299173,0.0003052448,0.0070291855,0.7948113092,0.0070291855,0.0002443823,0.0059662607,0.0002450194,0.0059041083
52,0.0063138374,0.0002948837,0.0064099777,0.7977718848,0.0064099776,0.0068856751,0.0003035251,0.0069844881,0.7955728909,0.0069844881,0.000243924,0.0059382178,0.0002432851,0.0058707546
53,0.0062575851,0.0002929701,0.0063528602,0.7992394154,0.0063528602,0.0068445275,0.0003026069,0.0069429122,0.7964252699,0.0069429122,0.0002425794,0.0059129063,0.0002418695,0.0058323919
54,0.00620049,0.0002905694,0.0062954421,0.7998950499,0.0062954422,0.0067973938,0.000301385,0.0068954464,0.7970207762,0.0068954464,0.0002431901,0.0058900871,0.0002415722,0.0058047692
55,0.006147407,0.0002893012,0.0062418562,0.8007702718,0.0062418563,0.0067553557,0.0003010484,0.0068529785,0.7978462314,0.0068529785,0.0002420508,0.0058626774,0.0002400682,0.0057730953
56,0.0061024959,0.0002879528,0.0061963316,0.8017697112,0.0061963316,0.0067262226,0.000299437,0.0068234117,0.7985994814,0.0068234117,0.000241018,0.0058373666,0.0002392587,0.0057455076
57,0.0060574135,0.000286639,0.0061510423,0.8022908204,0.0061510423,0.0066875705,0.0002989009,0.0067844499,0.7991942227,0.0067844499,0.000240761,0.0058188515,0.0002377059,0.0057201901
58,0.0060153877,0.0002851812,0.006108706,0.8027529484,0.006108706,0.006661928,0.000298524,0.0067586234,0.7995395998,0.0067586233,0.0002416506,0.00580588,0.0002372108,0.005695769
59,0.0059710928,0.0002838695,0.0060637195,0.8039807821,0.0060637195,0.0066299286,0.0002968321,0.0067262642,0.8002366439,0.0067262642,0.0002408915,0.0057851122,0.0002364094,0.0056695789
60,0.0059364452,0.0002827332,0.0060288717,0.8043687883,0.0060288717,0.0066055476,0.0002959167,0.0067015628,0.800650089,0.0067015628,0.0002410631,0.0057679505,0.0002362978,0.005651128
61,0.0085451561,0.0020527973,0.0087005611,0.7633004266,0.0087005611,0.0066918844,0.0014876947,0.0068084911,0.8017272246,0.006808491,0.000377994,0.0059453907,0.0007537042,0.0075392844
62,0.005768844,0.0013827738,0.0058782246,0.8105991669,0.0058782246,0.0058269417,0.001340454,0.0059325367,0.8155764502,0.0059325367,0.0003079419,0.0054304986,0.0003501526,0.0055587722
63,0.0050759213,0.0012665108,0.005176725,0.8215242792,0.005176725,0.0054701939,0.0012855828,0.0055716105,0.8219185979,0.0055716106,0.0002883491,0.0052316531,0.0002990248,0.005160268
64,0.0047095405,0.0012129925,0.0048061173,0.8274285992,0.0048061173,0.0052720397,0.0012565851,0.0053708589,0.8261153858,0.005370859,0.0002730842,0.0051008341,0.0002770141,0.0049563225
65,0.0044699532,0.0011733122,0.0045637899,0.8313562667,0.0045637899,0.0050957364,0.0012321239,0.0051928245,0.8283593822,0.0051928244,0.0002624528,0.0050142992,0.0002627199,0.0048180175
66,0.0042872454,0.0011446955,0.0043790294,0.8343060069,0.0043790294,0.0049942293,0.0012180843,0.0050900448,0.830169632,0.0050900448,0.0002552578,0.004946526,0.0002544942,0.00472173
67,0.0041465141,0.0011248347,0.0042365955,0.836896428,0.0042365955,0.0049091862,0.0012058341,0.0050043095,0.8310065451,0.0050043095,0.000254403,0.0049157687,0.0002479432,0.0046426037
68,0.0040317179,0.0011078266,0.004120547,0.8385743289,0.004120547,0.0048260945,0.0011865177,0.0049197569,0.8334308771,0.0049197569,0.0002509285,0.0048421601,0.0002437295,0.0045779811
69,0.0039324867,0.0010938815,0.0040201841,0.8403512546,0.0040201841,0.004764257,0.0011816288,0.0048574849,0.8341877895,0.0048574849,0.000251521,0.0048158204,0.0002401464,0.0045278382
70,0.0038477556,0.0010823229,0.0039346504,0.841441341,0.0039346504,0.0047138372,0.0011723796,0.00480632,0.8354633193,0.00480632,0.0002478907,0.0047773185,0.0002373301,0.0044810177
71,0.0037744802,0.0010732344,0.0038602181,0.8435133062,0.0038602181,0.0046639653,0.0011668342,0.0047560867,0.8360590927,0.0047560868,0.0002475767,0.0047553204,0.0002339951,0.0044394166
72,0.0037099139,0.0010647461,0.0037952559,0.8481164223,0.0037952559,0.004624468,0.0011615215,0.0047161325,0.8368185936,0.0047161325,0.0002436295,0.0047320992,0.0002327717,0.0044062238
73,0.0036383125,0.0010548398,0.0037230954,0.8443881821,0.0037230954,0.0045703554,0.0011555735,0.0046615044,0.8376242678,0.0046615044,0.000243726,0.0047052759,0.0002311638,0.0043734577
74,0.0035809603,0.0010495511,0.0036652617,0.8430119684,0.0036652617,0.0045400693,0.0011501416,0.004630904,0.8381747282,0.004630904,0.0002429697,0.0046916913,0.000229139,0.0043448356
75,0.0035328397,0.0010425319,0.0036164522,0.8466295502,0.0036164522,0.0044957643,0.0011430743,0.0045860225,0.8390465442,0.0045860225,0.0002414056,0.0046606303,0.0002281437,0.0043169241
76,0.0034854825,0.0010354007,0.0035686246,0.8472698825,0.0035686246,0.0044645078,0.0011368876,0.004554354,0.8396970118,0.004554354,0.0002420956,0.0046403652,0.0002269905,0.0042927113
77,0.0034418711,0.0010298955,0.0035247307,0.8478683207,0.0035247307,0.0044414792,0.0011324173,0.0045309667,0.8403809088,0.0045309667,0.0002405341,0.0046228967,0.000225288,0.0042715675
78,0.0034046249,0.0010252016,0.0034869142,0.8486704652,0.0034869142,0.0044161255,0.0011264519,0.0045053359,0.8408766299,0.0045053359,0.0002397812,0.0046075928,0.0002242838,0.0042501635
79,0.0033703936,0.0010199428,0.0034525679,0.8488253321,0.0034525679,0.0043942107,0.0011241303,0.0044831732,0.841135588,0.0044831732,0.0002382768,0.0045957364,0.0002236778,0.0042311795
80,0.0058261698,0.0015325735,0.0059427048,0.8077035719,0.0059427048,0.0042246815,0.001160178,0.004317808,0.837728057,0.004317808,0.0003452125,0.0045838679,0.0005039721,0.0057868589
81,0.0035770077,0.0010462271,0.0036602603,0.8495290496,0.0036602603,0.0037126576,0.0010594153,0.003796907,0.8503697312,0.0037969069,0.0002746359,0.004194579,0.000276953,0.0042552637
82,0.0030824341,0.0009714018,0.0031601363,0.8585468875,0.0031601363,0.0035402174,0.0010475201,0.0036222744,0.852698576,0.0036222744,0.0002574348,0.0040808213,0.0002481345,0.0039796644
83,0.0028195729,0.0009342826,0.0028942311,0.8621876664,0.0028942311,0.0034008127,0.001042334,0.0034817602,0.8549982348,0.0034817602,0.0002527975,0.004016309,0.0002322706,0.0038314764
84,0.0026588973,0.0009092628,0.0027315562,0.8652083074,0.0027315562,0.0033128667,0.0010316799,0.003392853,0.8557898259,0.003392853,0.0002441796,0.0039720534,0.0002231745,0.0037359986
85,0.0025363086,0.0008949185,0.0026076917,0.8673698771,0.0026076917,0.0032609519,0.0010142072,0.0033401343,0.8571406938,0.0033401342,0.0002430757,0.0039356869,0.0002177094,0.0036718283
86,0.0024479129,0.0008799369,0.0025184839,0.8673019782,0.0025184839,0.0032298009,0.0010199745,0.003308946,0.8572856404,0.003308946,0.0002431998,0.0039297886,0.0002146597,0.0036133237
87,0.00237581,0.0008700376,0.002445498,0.8697837056,0.002445498,0.003190482,0.001004219,0.0032686053,0.8589457284,0.0032686053,0.0002398125,0.0038846228,0.0002108932,0.0035731208
88,0.0023158931,0.0008588306,0.0023844371,0.8727418451,0.0023844371,0.0031640565,0.0010005708,0.0032418704,0.8594754327,0.0032418704,0.0002380813,0.0038668297,0.0002086387,0.0035369379
89,0.002263345,0.0008541256,0.0023315561,0.8719061668,0.0023315561,0.0031365472,0.0010006582,0.003214091,0.8600530749,0.003214091,0.0002370398,0.0038504078,0.0002054096,0.0035052415
90,0.0022180502,0.0008464894,0.0022857352,0.8724926628,0.0022857352,0.0031173665,0.0009955478,0.0031945335,0.8604953746,0.0031945335,0.0002366378,0.0038285759,0.0002037453,0.0034797719
91,0.0021781434,0.0008384899,0.002245363,0.8732371634,0.002245363,0.0030933612,0.0009906683,0.0031701497,0.8610482927,0.0031701496,0.0002341086,0.0038126244,0.0002028597,0.0034509606
92,0.0021434644,0.0008330149,0.0022100985,0.8745546371,0.0022100985,0.0030778441,0.0009884492,0.0031544318,0.8614898949,0.0031544318,0.0002350993,0.0038023738,0.0002011426,0.0034330524
93,0.0021098934,0.0008276228,0.0021761707,0.8749426824,0.0021761707,0.0030707942,0.0009778269,0.003147093,0.8616102178,0.003147093,0.0002353973,0.0037968331,0.0002009908,0.0034136812
94,0.0020807006,0.0008224517,0.0021467748,0.875309983,0.0021467748,0.003050445,0.0009792833,0.0031265555,0.8620799889,0.0031265555,0.0002339188,0.0037834958,0.0001993822,0.0033928262
95,0.0020503019,0.0008199385,0.002116202,0.8754803777,0.002116202,0.0030380108,0.0009733799,0.0031136777,0.8625997514,0.0031136777,0.0002323625,0.0037625778,0.0001982926,0.003378609
96,0.0020271493,0.0008163031,0.0020925626,0.8762884562,0.0020925626,0.0030249679,0.0009729589,0.0031005291,0.8629022363,0.0031005291,0.0002326088,0.0037584213,0.0001978448,0.0033632685
